cid,campaign_name,sponsor,category,sub_url,unsub_url,payout,campaign_id,payment_type,status,tags,description
1,MedicarePlan.net | Mon - Fri Only! (10189),GWM,Insurance,http://track.oztjv.com/aff_c?offer_id=10189&aff_id=6481&aff_sub1=[dep]&aff_sub2=[uid],https://www.anfairs.com/o-mxnz-d41-bfa079c21c9f9f874d0f99ab5d67d528,0.00,10189,CPS (per Sale),Live,"New, Mon-Fri",
11,Exclusive - Easy Canvas Prints - Custom Canvas - Cyber Week Sale - Unlimited Canvases for $14.99 each - 90% Off Promo(24893),W4,Gifts,http://peacocklight.com/a0fb1d65da50c52d09415dbf5f0ef24b7/?sid1=[dep]&sid2=[uid]&sid3=&sid4=,http://peacocklight.com/o/o-hpbj-d41-114825bf98d45530f29d50f6788aa037,4.63,24893,,Live,,
12,Senior Perks - American Senior Listicle - Revshare- Email (26966),W4,Multi-Product Offering,http://peacocklight.com/ad0aededaafe1adb5f848ad538b10da9c/?sid1=[dep]&sid2=[uid]&sid3=&sid4=, https://my-seniorperks.com/unsubscribe,0.00,26966,per Lead Gen,Live,Top,
17,Reversirol - Type 2 Diabetes Supplement - VSL (27459),W4,Health & Medical,http://peacocklight.com/adea70f482aa7ba671b9e96a1b3abf703/?sid1=[dep]&sid2=[uid]&sid3=&sid4=,http://peacocklight.com/rm.php?c=ANthYxshK09eJvCwiMzlyg,18.00,27459,,Live,,
20,Compressa - Compression Socks - eComm (24593),W4,Apparel & Fashion,http://peacocklight.com/a2b1894e179e70ecbfeaae9b9384aba66/?sid1=[dep]&sid2=[uid]&sid3=&sid4=,http://peacocklight.com/o/o-ttcm-e81-5ea3371fcb4e28d16f282dcddb012f85,10.00,24593,CPS (per Sale),Live,"Top, Must Try",
35,SharpEar (9990),GWM,Health & Beauty,http://track.mnlvi.com/aff_c?offer_id=9990&aff_id=6481&aff_sub=[dep]&aff_sub2=[uid],https://www.anfairs.com/o-rmbl-d41-1bc21f3af9957029e7064d19a0c3c066,19.50,9990,,Live,,
36,Caring For A Parent | Mon - Fri Only! (3808),GWM,Health & Beauty,http://track.mfvzv.com/aff_c?offer_id=3808&aff_id=6481&aff_sub=[dep]&aff_sub2=[uid],https://www.anfairs.com/o-pfqh-d41-1bc21f3af99570298ce8cb9f35755bcd,3.00,3808,,Live,,
38,Steel Bite Pro - Supplement (10095),GWM,Health & Beauty,http://track.mfvzv.com/aff_c?offer_id=10095&aff_id=6481&aff_sub1=[dep]&aff_sub2=[uid],https://www.anfairs.com/o-rmbl-d41-1f4430d0ef920b019c5cddacb7c76476,15.75,10095,CPA,Live,New,
39,American Home Shield (8935),GWM,Insurance,http://track.oztjv.com/aff_c?offer_id=8935&aff_id=6481&aff_sub=[dep]&aff_sub2=[uid],http://submit.ahsusc.com/unsub/p0ko7jq0m39ZLKDmFC4PDsKpwmEjRGXWK8Fs6phyKREpM2iKBJbgYYBQ90r6KvbA,10.75,8935,,Live,,
40,Sonus Complete (9595),GWM,Health & Beauty,http://track.jvckk.com/aff_c?offer_id=9595&aff_id=6481&aff_sub=[dep]&aff_sub2=[uid],https://www.anfairs.com/o-rmbl-d41-1f4430d0ef920b017176e57f89471a5d,20.00,9595,,Live,,
41,Vision 20 (9361),GWM,Health & Beauty,http://track.mfvzv.com/aff_c?offer_id=9361&aff_id=6481&aff_sub=[dep]&aff_sub2=[uid],https://www.anfairs.com/o-ldgs-d41-1f4430d0ef920b01751d18964e7023ae,21.25,9361,,Live,,
42,GlucoFlow (9991),GWM,Health & Beauty,http://track.mnlvi.com/aff_c?offer_id=9991&aff_id=6481&aff_sub=[dep]&aff_sub2=[uid],https://www.anfairs.com/o-rmbl-d41-1f4430d0ef920b01a1e0de3c6ff6cb13,15.75,9991,,Live,,
43,Volumil Hearing Loss (10053),GWM,Health & Beauty,http://track.jcdrt.com/aff_c?offer_id=10053&aff_id=6481&aff_sub=[dep]&aff_sub2=[uid],https://ezunsub.com/u/24f8f3919a03e89e406a,18.75,10053,,Live,,
54,"The Gadgets Laboratory - Holiday Season Gift Ideas - Listicle - eComm - Sale - US, CA, UK, SG, AU (27455)",W4,Multi-Product Offering,http://peacocklight.com/a57d3e7dbcd8339849c4e57af15dd0e10/?sid1=[dep]&sid2=[uid]&sid3=&sid4=,http://peacocklight.com/o/o-cvxg-l14-da3e6870b7b2257bd8ec7fe1bc6ea907,0.00,27455,CPS (per Sale),Live,Top,
59,ProstaStream (10252),GWM,Health & Beauty,http://track.bqumo.com/aff_c?offer_id=10252&aff_id=6481&aff_id=6481&aff_sub=[dep]&aff_sub2=[uid],https://www.anfairs.com/o-rmbl-d41-1c76140097b8b830727a654aad271a02,17.00,10252,,Live,,
